Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
不管拥有多少条裙子，永远都还是觉得没有裙子穿#超仙连衣裙 #温柔风穿搭,06-19 20:03:11,15秒,--,--,6244,412,121,Lovemimius
我的宝藏都给你们搬来了！#抖音618好物节 #微胖女孩 #做个美美的小仙女,06-18 20:00:12,18秒,--,--,4377,422,124,Lovemimius
每到黄昏之时 就想穿着美美的小裙子在慵懒的夜晚拥你入怀 #ohh潮人步 #抖音618酷夏焕装季,06-17 20:03:42,8秒,--,--,13588,582,285,Lovemimius
没有什么比收到新衣服更开心啦！#抖音618好物节 #温柔风穿搭 #微胖女孩,06-15 20:05:09,8秒,--,--,10194,602,111,Lovemimius
明天端午节要穿小裙子吧#抖音618好物节 #女装测评 #日常穿搭,06-12 20:04:53,12秒,--,--,10963,765,158,Lovemimius
夏天的小香套装，太香啦！#抖音618好物节 #日常穿搭 #女装测评,06-11 20:05:30,10秒,--,--,11092,766,178,Lovemimius
没什么比穿小裙子更开心的事啦！#小个子穿搭 #抖音618好物节 #微胖女孩 #温柔风穿搭,06-10 19:57:14,9秒,--,--,6425,476,114,Lovemimius
做你最甜的那个宝贝呀！#女装测评 #小个子穿搭 #微胖女孩,06-09 20:04:24,7秒,--,--,6076,554,128,Lovemimius
每天晚上睡觉之前我都要想很久！明天我穿哪件才好#抖音618好物节 #日常穿搭,06-08 22:16:39,5秒,--,--,7152,496,186,Lovemimius
夏天很热，但因为有你，空气都变得清新甜蜜！#抖音618好物节 #温柔风穿搭 #护航高考2021,06-07 20:13:58,5秒,--,--,6391,538,143,Lovemimius
少喝两杯奶茶，多买一件小衬衣，真香！#抖音618好物节 #女装测评 #温柔风穿搭 #游鹿鹿,06-05 20:01:32,10秒,--,--,5807,477,90,Lovemimius
九万少女的梦#超仙连衣裙 #显瘦穿搭 #抖音618好物节,06-05 08:37:30,11秒,--,--,3918,414,62,Lovemimius
每天都有穿不完的新衣服才是我最开心的事情#抖音618好物节 #温柔风穿搭 #连衣裙 #游鹿鹿,06-04 20:00:24,13秒,--,--,8933,613,155,Lovemimius
除了浪漫和温柔 还想陷在夏天的晚风和美丽的小裙子#抖音618好物节 #温柔风穿搭 #法式 #连衣裙,06-03 08:44:47,14秒,--,--,2432,325,140,Lovemimius
今天1600买了所有的衣服！这一个鞋和一个包16000#夏季穿搭 #游鹿鹿,06-02 19:47:25,13秒,--,--,11003,972,226,Lovemimius
你们的宝藏又来咯！我可真是什么风格都喜欢#微胖女孩 #显瘦穿搭,06-01 20:03:34,16秒,--,--,10922,782,140,Lovemimius
,,,,,,,,
喜欢哪个风格的？#反转甜辣舞,08-28 18:33:49,18秒,--,--,24130,553,119,Lou Yixiao
好好自拍一张就这么难，他俩是故意的吧??#拍立得自拍挑战 #盛夏星日记,08-28 16:00:06,13秒,--,--,42213,686,287,Lou Yixiao
这支舞你学废了嘛？#爱情36计 早起运动一下下 #盛夏星日记,08-28 09:14:30,13秒,--,--,19790,316,121,Lou Yixiao
